Mold,Head,Pattern,Throat,Beam,Manufacturer,Name,Owned by Tommi,Tommi wants this,Year,DescriptionTommi,Description,Layup,Made in Austria,Designed in Austria,Info from,Image
VP_No1_98,98,16x20,4,21/23/25,Technifibre,Tflash 315 VO2,0,0,2008,,Black/White/Red,,0,0,,98-tapered/Technifibre_TFlash315_VO2.jpg
VP_No1_98,98,18x20,4,21/23/25,Pacific,XForce Pro 18x20,0,0,2010,,Black/White/Orange,Basalt/Graphite,0,0,,98-tapered/Pacific/2010_Pacific_X_Force_Pro_18x20.jpg
VP_No1_98,98,16x20,4,21/23/25,Pacific,XForce Lite,0,0,2010,,Orange,Basalt/Graphite,0,0,,98-tapered/Pacific/2010_Pacific_X_Force_Lite.jpg
VP_No1_98,98,18x20,4,20/23/25,Pacific,BX2 XForce Pro 18x20,0,0,2014,,Black/White/Orange,Basalt/Graphite,0,0,,98-tapered/Pacific/2014_BX2_X_Force_Pro_18x20.png
VP_No1_98,98,16x20,4,20/23/25,Pacific,BX2 XForce LT,0,0,2014,,Orange,Basalt/Graphite,0,0,,98-tapered/Pacific/2014_BX2_X_Force_LT.png
VP_No1_98,98,16x20,4,20/23/25,Pacific,BXT XForce Pro No. 1,0,0,2016,,Black/White/Orange,Basalt/Graphite,0,0,,98-tapered/Pacific/2016_BXT_X_Force_Pro_No1.png
VP_No1_98,98,16x20,4,20/23/25,Pacific,BXT XForce LT No. 1,0,0,2016,,Black/White/Blue,Basalt/Graphite,0,0,,98-tapered/Pacific/2016_BXT_X_Force_LT_No1.png
VP_No1_98,98,16x20,4,20/23/25,Pacific,XForce Pro No. 1,2,0,2020,Modern iteration for the 1992→ Fischer. My racket of choice nowadays for play.,Black/green,Basalt/Graphite,0,0,,98-tapered/2020_X-Force-Pro-No_1__pos2.jpg
VP_No1_98_XL,98,16x20,4,24/23/25,Fischer,Revolution Pro 98 +2.5cm,0,0,1998,,"Yellow, Purple textbc",,0,0,TW,98-tapered/Vacuum_Pro_98_+2.5cm.jpg
VP_No1_98_XL,98,16x20,4,21/23/25,Fischer,Revolution Pro 98 +2.5cm,0,0,2000,,Yellow,,0,0,,
Mpro_No1_98,98,16x20,4,21/23/25,Fischer,Pro No. 1 FT,0,0,2003,,,Air carbon,0,0,,98-tapered/Fischer_Pro_1_Number_One_FT.jpg
Mpro_No1_98,98,16x20,4,21/23/25,Fischer,M Pro-No. 1 (Magnetic Speed),0,0,2005,,,Graphite / Fiberglass / Piezotec Fibres,0,0,,98-tapered/2006_Fischer_M_Pro_Number_1.jpg
Mpro_No1_98,98,16x20,4,21/23/25,Fischer,M-Pro No. 1 98 (Magnetic Speed),0,0,2006,,,Graphite / Fiberglass / Piezotec Fibres,0,0,,98-tapered/M-Pro-No-1_MagneticSpeed.png
Mpro_No1_98,98,16x20,4,21/23/25,Fischer,Black Granite No One,0,0,2008,,,Black Granite / F-glass / Graphite,0,0,,98-tapered/Black_Granite_No1.png
Mpro_No1_98,98,16x20,4,21/23/25,Pacific,X Force Pro,0,0,2010,,Black/White,Basalt/Graphite,0,0,,98-tapered/Pacific_X_Force_Pro.PNG
Mpro_No1_98,98,16x20,4,20/23/25,Pacific,X Force Pro 295/320,1,0,2020,Modern iteration for the 1992→ Fischer. This version has a bit too big swing weight for my preference.,Black/white,,0,0,,98-tapered/2020_XForce_Pro_320.jpg
Mpro_No1_98,98,16x20,4,20/23/25,Pacific,X Force Pro 292/308,0,0,2023,,Blue/Orange,,0,0,,98-tapered/2023-x-force-pro-308.jpg
SuFo_Open,85,16x21,3,,Fischer,Superform Open ,0,0,1986,,"Black, pearl, orange texts",SiC,1,0,,Superform/SuperformOpen_MidSize.jpg
SuFo_Open,85,16x21,3,,Fischer,Superform Open Lite ,0,0,1986,,"Black, pearl, orange texts",Graphite/Carbon,1,0,,Superform/SuperformOpenLite_MidSize.jpg
SuFo_Open,85,16x21,3,,Fischer,Superform Speedmaster,0,0,1986,,"Black, pearl, orange texts",,1,0,,Superform/SuperformSpeedmaster.jpg
SuFo_Open,85,16x21,3,,Fischer,Superform Tuning,0,0,1986,,"Black, pearl, red texts",SiC,1,0,,Superform/SuperformOpenTuning_MidSize.jpg
SuFo_Open,85,16x21,3,,Fischer,Superform Open Pro ,0,1,1987,,Red,SiC - Kevlar,1,0,,Superform/SuperformOpenPro_MidSize..png
SuFo_Open,85,16x21,3,,Fischer,Superform Open Team ,0,0,1987,,"White, red text",Graphite,1,0,,Superform/SuperformOpenTeam_MidSize.jpg
SuFo_Open,85,16x21,3,,Fischer,Superform Open Team Match,0,0,1987,,"Black, white text",Graphite,1,0,,Superform/SuperformOpenTeamMatch_MidSize.jpg
KingSize,0,16x20,0,,Fischer,King Size President,0,0,1984,,Red/white,,1,0,,Superform/84_KingSize_President.jpg
KingSize,0,16x20,0,,Fischer,King Size President S,0,0,1984,,Red/white,Aircarbon/graphite - titan,1,0,,Superform/84_KingSize_PresidentS.jpg
KingSize,0,16x20,0,,Fischer,King Size Compound,0,0,1985,,Red/white/wood,"Graphite, fiberglass, high-q wood",1,0,,Superform/85_KingSize_Compound.jpg
KingSize,0,16x19,0,,Fischer,Coup,0,0,1986,,Red/white,Perradur,1,0,,Superform/86_Coup.jpg
KingSize,0,16x21,3,,Fischer,King Size Open,0,0,1986,,Black,SiC,1,0,,Superform/86_KingSize_Open.jpg
KingSize,0,16x20,0,,Fischer,King Size Penta,0,0,1986,,Red/yellow,"Perradur, polyamide",1,0,,Superform/86_KingSize_Penta.jpg
KingSize,0,16x20,0,,Fischer,King Size President S,0,0,1986,,Red/yellow,Aircarbon/graphite - titan,1,0,,Superform/86_KingSize_PresidentS.jpg
KingSize,0,16x21,3,,Fischer,King Size Speedmaster,0,0,1986,,Black,,1,0,,Superform/86_KingSize_Speedmaster.jpg
KingSize,0,16x20,0,,Fischer,King Size Superspot,0,0,1986,,white/yellow,Air-carbon composie,1,0,,Superform/86_KingSize_Superspot.jpg
KingSize,0,16x21,3,,Fischer,King Size Tuning,0,0,1986,,Black,SiC,1,0,,Superform/86_KingSize_Tuning.jpg
KingSize,0,16x21,3,,Fischer,King Size Graphite,0,0,1987,,Maroon,Graphite composite,1,0,,Superform/87_KingSize_Graphite.jpg
KingSize,0,16x21,3,,Fischer,King Size President,0,0,1987,,Red,SiC - Kevlar,1,0,,Superform/87_KingSize_President.jpg
KingSize,0,16x20,3,,Fischer,King Size Turbo,0,0,1987,,Silver,,1,0,,Superform/8x_KingSize_Turbo.jpg
SuFo,0,16x21,0,,Fischer,Superform (Stan Smith),0,0,1981,,Black/dark orange,,1,0,,Superform/81_Superform_Early.jpeg
SuFo,0,16x21,0,,Fischer,Superform Mid Size,0,0,1981,,Black/dark orange,,1,0,,Superform/SuperformMid.jpg
SuFo,0,16x21,0,,Fischer,Superform (Stan Smith),0,0,1982,,Black/dark orange,,1,0,,Superform/82ish_SuperForm_StanSmith_Black.jpg
SuFo,0,16x21,0,,Fischer,Superform (Stan Smith),0,0,1984,,Silver/Orange,Air-carbon/titanium,1,0,,Superform/SuperForm_StanSmith_Silver.jpg
SuFo,0,16x21,0,,Fischer,Superform XL (Stan Smith),0,0,1984,,Red/white,,1,0,,Superform/SuperformXL_StanSmith.jpg
SuFo,0,16x21,0,,Fischer,Supersonic,0,0,1984,,Silver/red,"Carbon-polyamide, perradur",1,0,,Superform/Supersonic.jpg
SuFo,0,16x21,0,,Fischer,Superform XL,0,0,1985,,Blue/red,,1,0,,Superform/85_SuperformXL.jpg
SuFo,0,16x21,0,,Fischer,Superform Tournament,0,0,1986,,Black/dark orange,,1,0,,Superform/SuperformTournament.jpg
Vacuum90,90,14x19,3,,Fischer,SC Team,0,0,1988,,White,,1,0,,Other/SC_Team_14x19.jpg
